Timestamp,1. Gender,2. Age ,3. Where do you live? (District),4. What's your occupation?,5. What's your Education Level? ,6. What's your Monthly income?,7. How did you get to know about mobile banking?,8. How long have you been using mobile banking for?,"9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?",10. What types of accounts do you have? ,11. What is the type of bank you use for mobile banking application?,12.  What kind of operations are you doing using the mobile application? ,13. How often do you use the mobile application to do the above-mentioned tasks ?,14. How far is the bank branch where you do business (or live)?,"15. Do you generally send, receive, or do both send and receive?",16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to navigate],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to understand],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a payment],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make transfer money],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a balance inquiry],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think that you will save time by using a mobile banking application?],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?],17. Please rate your knowledge of Your Mobile banking services. ,18. How satisfied were you with the current banking application? *Both presented and pre-read material,19. How can the mobile banking apps could be improved to fit your needs well?,20. Do you recommend other users to use mobile banking apps? 
06/11/2020 07:48:56,Male,19 -30,Kandy,Private Sector Job,Degree or above,"150,000 to 200,000",Self,Less than a year,An addition,Savings Account,Private,Pay utility bills,Monthly,more than 5Km,Send,3,3,3,3,3,5,5,4,3,"Keep it Simple, Better User Interface",Yes
06/11/2020 08:29:19,Female,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Self,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,2,2,2,2,4,4,4,2,2,"Keep it Simple, More value added services, Better User Interface",Maybe
06/11/2020 08:55:17,Female,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, Investments",Weekly,100m to 1Km,Both,4,3,4,4,4,4,3,5,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
06/11/2020 10:00:27,Female,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Both,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Monthly,100m to 1Km,Both,4,4,5,5,5,5,4,3,4,"Keep it Simple, Add more features, Lightweight and speed",Yes
06/11/2020 10:20:20,Male,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Internet or Article,One year to five years,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Weekly,more than 5Km,Both,4,3,5,5,4,5,2,3,3,"Keep it Simple, Lightweight and speed",Yes
06/11/2020 12:06:24,Female,31 - 40,Hambantota,Government Job,ICASL,"50,000 - 100,000",Bank,Less than a year,An addition,Savings Account,Private,"Checking bank balance, Pay utility bills",Weekly,100m to 1Km,Both,2,1,3,3,1,2,1,4,4,"Keep it Simple, Add more features, More value added services",Yes
06/11/2020 13:15:33,Male,51 - 60,Kandy,Government Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,1Km to 5Km,Send,4,4,2,3,5,5,2,4,3,More value added services,Yes
06/11/2020 13:15:53,Male,51 - 60,Kandy,Government Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,1Km to 5Km,Send,4,4,2,3,5,5,2,4,3,More value added services,Yes
06/11/2020 13:16:06,Male,51 - 60,Kandy,Government Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,1Km to 5Km,Send,4,4,2,3,5,5,2,4,3,More value added services,Yes
06/11/2020 15:47:34,Female,19 -30,Colombo,Government Job,Degree or above,"Below 50,000",Bank,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,3,4,4,4,4,4,4,5,3,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
06/11/2020 18:32:14,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,1Km to 5Km,Both,1,1,1,1,1,1,1,5,3,Keep it Simple,Yes
06/11/2020 19:01:10,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"200,000+",Friends,One year to five years,An addition,Savings Account,Government,Transfer money to the other accounts,Rarely,1Km to 5Km,Both,3,3,2,3,3,3,3,4,3,"Keep it Simple, Add more features, More value added services, Better User Interface, Free demo by the banks",Yes
06/11/2020 20:26:03,Male,19 -30,Kegalle,Self-Employed,Degree or above,"200,000+",Bank,One year to five years,An addition,Both,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,1Km to 5Km,Both,5,5,5,5,5,5,5,5,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Free demo by the banks",Yes
06/11/2020 20:49:19,Female,31 - 40,Kurunegala,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,Less than a year,An addition,Both,Private,"Checking bank balance, Pay utility bills, Investments",Daily,less than 100m,Both,3,3,3,3,3,4,3,3,3,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
06/11/2020 23:51:58,Male,19 -30,Ratnapura,Private Sector Job,Degree or above,"150,000 to 200,000",Internet or Article,Less than a year,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Send,3,4,3,3,5,5,4,4,5,"Keep it Simple, Better User Interface",Yes
07/11/2020 03:44:04,Female,19 -30,Galle,Student,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Current account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Once in two weeks,more than 5Km,Send,3,2,4,4,4,5,5,5,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
07/11/2020 05:52:15,Male,31 - 40,Colombo,Private Sector Job,Degree or above,"200,000+",Bank,5 years or more,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments, Pension fund management",Daily,1Km to 5Km,Both,5,5,5,5,5,5,3,5,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
07/11/2020 07:32:53,Female,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Savings Account,Private,Checking bank balance,Weekly,100m to 1Km,Both,5,5,5,5,5,5,5,4,4,"Keep it Simple, Lightweight and speed, More value added services",Yes
07/11/2020 09:50:58,Female,31 - 40,Colombo,Government Job,Degree or above,"50,000 - 100,000",Advertisement,5 years or more,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,more than 5Km,Both,5,5,5,5,5,5,4,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks, Develop, introduce and aware app users about unique QR codes. It will be more easier for both senders and recipients.",Yes
07/11/2020 12:51:10,Male,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts",Monthly,1Km to 5Km,Both,2,3,4,4,4,4,4,3,3,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
07/11/2020 12:59:11,Male,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Advertisement,5 years or more,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, Open Fixed deposits",Weekly,more than 5Km,Both,4,5,4,4,5,4,5,5,5,"Add more features, Lightweight and speed, Better User Interface",Yes
07/11/2020 15:04:34,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Self,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Once in two weeks,1Km to 5Km,Both,4,4,5,5,3,5,3,3,3,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
09/11/2020 14:45:06,Male,19 -30,Badulla,Private Sector Job,Degree or above,"100,000 - 150,000",Self,One year to five years,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,3,3,5,5,5,5,1,4,3,"Keep it Simple, Better User Interface, Free demo by the banks",Yes
09/11/2020 20:18:37,Female,19 -30,Ratnapura,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,Less than a year,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Send,4,4,5,5,5,5,4,4,4,"Lightweight and speed, Better User Interface",Yes
10/11/2020 09:43:45,Male,19 -30,Colombo,Private Sector Job,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,5,5,5,5,5,5,4,5,5,"Keep it Simple, Add more features, Better User Interface",Yes
10/11/2020 20:10:18,Female,41 - 50,Gampaha,Government Job,Degree or above,"100,000 - 150,000",Friends,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,1Km to 5Km,Send,1,1,1,1,1,1,1,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
12/11/2020 18:41:10,Male,31 - 40,Hambantota,Private Sector Job,Degree or above,"Below 50,000",Friends,One year to five years,Separate,Both,Both,"Transfer money to the other accounts, Pay utility bills, International payments",Monthly,more than 5Km,Both,4,3,4,4,4,3,2,4,4,"Add more features, Better User Interface",Yes
12/11/2020 18:50:43,Female,19 -30,Kandy,Private Sector Job,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Savings Account,Private,Checking bank balance,Rarely,more than 5Km,Both,1,2,1,1,3,3,4,4,2,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Maybe
12/11/2020 19:02:55,Female,19 -30,Kegalle,Private Sector Job,Diploma,"50,000 - 100,000",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts",Monthly,1Km to 5Km,Both,5,5,5,5,5,5,5,5,5,More value added services,Yes
12/11/2020 21:34:40,Male,19 -30,Matale,Student,Diploma,"Below 50,000",Friends,One year to five years,Separate,Savings Account,Private,Transfer money to the other accounts,Rarely,more than 5Km,Both,3,3,3,3,3,3,3,5,5,Free demo by the banks,Yes
13/11/2020 10:37:27,Female,19 -30,Kurunegala,Student,Degree or above,"Below 50,000",Bank,One year to five years,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Both,4,5,5,5,5,5,5,5,5,Keep it Simple,Yes
13/11/2020 11:14:00,Male,19 -30,Colombo,Private Sector Job,Degree or above,"200,000+",Self,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,100m to 1Km,Both,4,4,5,5,5,5,4,5,5,"Keep it Simple, Lightweight and speed, More value added services, Better User Interface",Yes
13/11/2020 11:30:21,Male,19 -30,Kegalle,Private Sector Job,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,less than 100m,Both,4,4,5,5,5,5,3,4,4,"Keep it Simple, Lightweight and speed, More value added services, Better User Interface",Yes
13/11/2020 14:15:28,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"50,000 - 100,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,less than 100m,Both,2,2,1,1,2,1,2,4,4,"Add more features, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
